1;Macht hoch die Tür
2;Nun jauchzet all ihr Frommen
3;Wie soll ich dich empfangen
4;Tochter Zion, freue dich
5;Bereitet doch den Weg
6;Die Nacht ist vorgedrungen
7;Gelobet sei der König
8;Advent ist es heut!
9;Lobt Gott, ihr Christen allzugleich
10;Vom Himmel hoch, da komm ich her
11;Es ist ein Ros entsprungen
12;Wie schön leuchtet der Morgenstern
13;Zu Bethlehem geboren
14;Nun singet und seid froh
15;Brich an, du schönes Morgenlicht
16;Fröhlich soll mein Herze springen
17;Ich steh an deiner Krippen hier
18;Gott sei Dank durch alle Welt
19;Kommt und lasst uns Christum ehren
20;Jesus ist kommen
21;Jauchzet ihr Himmel
22;Dies ist der Tag, den Gott gemacht
23;O du fröhliche
24;Ihr Kinderlein kommet
25;Du lieber, heil’ger, frommer Christ
26;Stille Nacht, heilige Nacht
27;Herbei, o ihr Gläub'gen
28;Gottes eingeborner Sohn
29;Nun laßt uns gehn und treten
30;Bis hierher hat mich Gott gebracht
31;Segnet uns zu guter Letzt
32;Mit dem Herrn fang alles an
33;Das Jahr geht still zu Ende
34;Weiß ich den Weg auch nicht
35;Das Jahr geht hin, nun segne du
36;Wir bitten dich durch Jesus Christ
37;Der du die Zeit in Händen hast
38;Du bist, o Gott, der Herr der Zeit
39;Gottes Liebe hat geleitet
40;Sieh, dein König kommt zu dir
41;Dein König kommt in niedern Hüllen
42;Einst zog in niedern Hüllen
43;O Haupt voll Blut und Wunden
44;Wer hat dich so geschlagen
45;Herr Jesu, deine Angst und Pein
46;Der am Kreuz ist meine Liebe
47;Der Hirte stirbt für seine Herde
48;Herr, stärke mich, dein Leiden zu bedenken
49;Es ist ein Born
50;O drückten Jesu Todesmienen
51;Wie könnt ich sein vergessen
52;Horch, die Stimme ew’ger Liebe
53;Denkt mein Geist an jene Stunden
54;Jesus, der am Kreuze starb
55;O du mein Herr und Heiland
56;Vom Tode heut erstanden ist
57;Nun freue dich, du Christenheit
58;Allein Gott in der Höh sei Ehr
59;Gelobt sei Gott im höchsten Thron
60;Mein Jesus lebt, und ich sollt sterben?
61;Er lebt! O frohes Wort
62;Jesus lebt - wie froh bin ich
63;Christus ist Sieger
64;Singt unserm Gott und seinem Sohn
65;O Jesus Christ, mein Leben
66;Freut euch, ihr Christen
67;Sei uns gegrüßet
68;Kommt, stimmet alle jubelnd ein
69;Ich weiß, daß mein Erlöser lebt
70;Auf Christi Himmelfahrt allein
71;Der Herr fährt auf zum Himmel
72;Über aller Himmel Heere
73;Frohlock, mein Herz, weil Jesus Christ
74;Mein siegend Haupt
75;Die Sach' ist dein, Herr Jesu Christ
76;Wo Gottes Geist regieret
77;O Heil’ger Geist, kehr bei uns ein
78;Der Geist, den Gott vom Himmel gibt
79;Schmückt das Fest  mit Maien
80;Geist der Weisheit, gib uns allen
81;Geist der Wahrheit, lehre mich
82;Geist der Wahrheit, Geist der Liebe
83;Du Heil'ger Geist bereite
84;Wir jauchzen froh in dieser Zeit
85;Gott Vater, dir sei Lob und Dank
86;Aus tiefer Not schrei ich zu dir
87;O Vater der Barmherzig-keit
88;Nun, so will ich denn mein Leben
89;An dir allein, an dir hab‘ ich gesündigt
90;Gott, dir gefällt kein gottlos Wesen
91;Bist du ein Christ nach dem Bekenntnis
92;Herr, sieh gnädig auf mich nieder
93;O Herr, nimm unsre Schuld
94a;Schmücke dich, o liebe Seele
94b;Schmücke dich, o liebe Seele
95;Liebster Jesu, wir sind hier
96;Gott, mein Licht, erleuchte mich
97;Beschwertes Herz, leg ab die Sorgen
98;Eins ist not!
99;Licht vom Licht, erleuchte mich
100;Tut mir auf die schöne Pforte
101;Seele, was ermüdst du dich
102;Mein Schöpfer, steh mir bei
103;Gott ist gegenwärtig
104;Es ist noch eine Ruh vorhanden
105;Halleluja! Schöner Morgen
106;Betgemeinde, heil’ge dich
107a;Hier ist mein Herz
107b;Hier ist mein Herz
108;Es ist noch Raum in deinem Herzen
109;Fels des Heils, Herr Jesu Christ
110;Jesus, Seelenfreund der Deinen
111;O komm mit mir
112;Kommt her, ihr seid geladen
113;Wie lieblich ist es Sonntags früh
114;O seliger Sonntag
115;So wie ich bin, ohn alle Zier
116;Licht, das in die Welt gekommen
117;Herzenskündiger
118a;O wie freun wir uns der Stunde
118b;O wie freun wir uns der Stunde
119;Aus der Näh und aus der Ferne
120;Herr, hier bring ich mein alles
121;Darf ich wiederkommen
122;Ein volles, freies, ew’ges Heil
123;Es fließt ein Strom so klar und rein
124;Ich bin von dir gezeuget
125;Hehr und heilig ist die Stätte
126;Gehe nicht vorbei, o Heiland
127;Gib mir ein reines Herz
128;Ein Ort ist mir gar lieb und wert
129;Frisch von dem Thron des Lammes
130;Zu des Heilands Füßen
131;Sieh, ich breite voll Verlangen
132;Wer da will, der komme
133;Herr, mach meine Seele
134;Kehr ein, o Herr, kehr ein
135;O kaufe aus die Gnadenzeit
136;Wie lieblich ist der Boten Schritt
137;Wir möchten Jesum sehn
138;Hier ist Jesus, hier ist Gnade
139;Zu Gott im Himmel beten
140;Wie schön ist’s doch, wenn im Gebet
141;Die ihr vom Tod bezwungen
142;Ein feste Burg ist unser Gott
143;Von Gott will ich nicht lassen
144a;Ach, bleib mit deiner Gnade
144b;Ach, bleib mit deiner Gnade
145;Gott des Himmels und der Erden
146a;Befiehl du deine Wege
146b;Befiehl du deine Wege
147;Alles ist an Gottes Segen
148;Geduld ist euch vonnöten
149;Gib dich zufrieden und sei stille
150;Ist Gott für mich, so trete
151;Lobet den Herren alle, die ihn ehren
152;Warum sollt ich mich denn grämen
153;Jesu, meine Freude
154;Wer nur den lieben Gott läßt walten
155;Wunderanfang, herrlich's Ende
156;Was Gott tut, das ist wohlgetan
157;Ein Christ wird ohne Kreuz nicht sein
158;Jesu, hilf siegen
159;Der Glaub ist feste Zuversicht
160;Jesus nimmt die Sünder an
161;Ach, wenn ich dich, mein Gott, nur habe
162;Gott lebt! Wie kann ich traurig sein
163;Gott will machen, daß die Sachen
164;Schönster Herr Jesus
165;Wie Gott mich führt, so will ich gehn
166;Du führst mich, Herr
167;Ich schließe mich auf's neue
168a;Jesu, Heiland meiner Seele
168b;Jesu, Heiland meiner Seele
169;Gott, deine Güte reicht so weit
170;Das ist eine sel’ge Stunde
171;Gott ist getreu
172;Wenn ich verlassen scheine
173;Gern in alles mich zu fügen
174;Meines Herzens reinste Freude
175;Dein Wort, o Herr, ist milder Tau
176;Jesu, Lebensfürst, geladen
177;Stark ist meines Jesu Hand
178;Zaget nicht, wenn Dunkelheiten
179;Gott mit mir auf allen Wegen
180;Herr, bleib bei mir
181;Nicht menschlicher Rat
182;O Vaterhand, die mich so treu geführet
183a;Wort des Lebens, laut’re Quelle
183b;Wort des Lebens, laut’re Quelle
184;Stillehalten deinem Walten
185;So halte fest denn, was du hast
186;An deinem Wort, Herr, will ich bleiben
187;Keiner ward zuschanden
188;Wie hat man’s doch bei dir so gut
189;Mit dir, o Herr, verbunden
190;Harre, meine Seele
191;Nimm Jesus in dein Lebensschiff
192;Du, unser Haupt, Herr Jesu Christ
193;Wie groß ist Gottes Macht
194;So nimm denn meine Hände
195;Bietet Gott in seinem Sohne
196;Ich weiß einen Strom
197;Mir ward in bangen Sorgen
198;Immer mutig vorwärts
199;Ich brauch dich allezeit
200;Licht nach dem Dunkel
201;Seht, wie Daniel in Babel betet
202;Vor meines Herzens König
203;Wenn, Herr, mein Herz ist fern von dir
204;Einen goldnen Wanderstab
205;Es mag sein, dass alles fällt
206;Mein Vater ist reich
207;In dem Herren freuet euch
